get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,11.0,2023.0,23.0,415,Chris,Paul,1985-05-06,USA,2005,16,6.0,0.0,1.83,175.0,79.4,Wake Forest,Wake Forest/USA,3.0,True,G,,,,,,,,,
,,,,322,Kevon,Looney,1996-02-06,USA,2015,6,6.0,9.0,2.06,222.0,100.7,UCLA,UCLA/USA,5.0,True,F,,,,,,,,,
,,,,593,Gary,Payton II,1992-12-01,USA,2016,5,6.0,3.0,1.9,195.0,88.5,Oregon State,Oregon State/USA,,True,G,,1.0,G,,1.0,G,,,
,,,,1019,Jerome,Robinson,,,0,0,,,,,,,,8.0,True,G,,,,13.0,1.0,G,,,
,,,,2827,Jonathan,Kuminga,2002-10-06,DRC,2021,0,6.0,7.0,2.01,225.0,102.1,NBA G League Ignite,NBA G League Ignite/DRC,,True,F,,1.0,F,,1.0,F,,,
,,,,3492,Pat,Spencer,,,0,0,,,,,,,,61.0,True,G,,,,61.0,1.0,G,,,
,,,,2836,Moses,Moody,2002-05-31,USA,2021,0,6.0,5.0,1.96,211.0,95.7,Arkansas,Arkansas/USA,4.0,True,G,4.0,1.0,G,4.0,1.0,G,,,
,,,,2806,Usman,Garuba,2002-03-09,Spain,2021,0,6.0,8.0,2.03,229.0,103.9,Real Madrid,Real Madrid/Spain,16.0,True,F,,,,16.0,1.0,F-C,,,
,,,,3485,Gui,Santos,,,0,0,,,,,,,,15.0,True,G,15.0,1.0,F,15.0,1.0,F,,,
,,,,3480,Lester,Quinones,,,0,0,,,,,,,,25.0,True,G,,,,25.0,1.0,G,,,
,,,,3972,Kendric,Davis,,,0,0,5.0,,,184.0,,Memphis,,21.0,True,G,,,,,,,,,
,,,,3973,Trayce,JacksonDavis,,,0,0,6.0,,,245.0,,Indiana,,32.0,True,F,,,,,,,,,
,,,,3974,Javan,Johnson,,,0,0,6.0,,,192.0,,DePaul,,31.0,True,F,,,,,,,,,
,,,,3975,Brandin,Podziemski,,,0,0,6.0,,,203.0,,Santa Clara,,2.0,True,G,,,,,,,,,
,,,,186,Rudy,Gay,1986-08-17,USA,2006,15,6.0,8.0,2.03,250.0,113.4,Connecticut,Connecticut/USA,22.0,True,F-G,,,,,,,22.0,1.0,F
,,,,124,Stephen,Curry,1988-03-14,USA,2009,12,6.0,2.0,1.88,185.0,83.9,Davidson,Davidson/USA,30.0,True,G,,,,,,,,,
,,,,514,Klay,Thompson,1990-02-08,USA,2011,8,6.0,6.0,1.98,220.0,99.8,Washington State,Washington State/USA,11.0,True,G,,,,,,,,,
,,,,287,Cory,Joseph,1991-08-20,Canada,2011,10,6.0,3.0,1.9,200.0,90.7,Texas,Texas/Canada,18.0,True,G,,,,,,,,,
,,,,204,Draymond,Green,1990-03-04,USA,2012,9,6.0,6.0,1.98,230.0,104.3,Michigan State,Michigan State/USA,23.0,True,F,,,,,,,,,
,,,,354,Rodney,McGruder,1991-07-29,USA,2016,5,6.0,4.0,1.93,205.0,93.0,Kansas State,Kansas State/USA,17.0,True,G,,,,,,,,,
,,,,548,Andrew,Wiggins,1995-02-23,Canada,2014,7,6.0,7.0,2.01,197.0,89.4,Kansas,Kansas/Canada,22.0,True,F,,,,,,,,,
,,,,468,Dario,Saric,1994-04-08,Croatia,2016,5,6.0,10.0,2.08,225.0,102.1,Anadolu Efes,Anadolu Efes/Croatia,20.0,True,F-C,,,,,,,,,
,,,,3810,Donovan,Williams,,,0,0,,,,,,,,88.0,True,G-F,,,,88.0,1.0,G-F,,,
