get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,25.0,2023.0,24.0,972,Shai,Gilgeous-Alexander,1998-07-12,Canada,2018,3,6.0,6.0,1.98,180.0,81.6,Kentucky,Kentucky/Canada,2.0,True,G,2.0,1.0,G,,,,,,
,,,,1044,Kenrich,Williams,1994-12-02,USA,2018,3,6.0,6.0,1.98,210.0,95.3,TCU,TCU/USA,34.0,True,G-F,34.0,1.0,F,,,,,,
,,,,2040,Luguentz,Dort,,,0,0,,,,,,,,5.0,True,G,14.0,1.0,G,,,,,,
,,,,2633,Aleksej,Pokusevski,2001-12-26,Serbia,2020,1,7.0,0.0,2.13,190.0,86.2,Olympiacos,Olympiacos/Serbia,17.0,True,F,17.0,1.0,F,17.0,1.0,F,,,
,,,,2604,Isaiah,Joe,1999-07-02,USA,2020,1,6.0,4.0,1.93,165.0,74.8,Arkansas,Arkansas/USA,7.0,True,G,7.0,1.0,G,7.0,1.0,G,,,
,,,,3404,Lindy,Waters III,1997-07-28,USA,2021,0,6.0,6.0,1.98,215.0,97.5,Oklahoma State,Oklahoma State/USA,12.0,True,F,12.0,1.0,G,12.0,1.0,G,,,
,,,,2846,Jeremiah,Robinson-Earl,2000-11-03,USA,2021,0,6.0,8.0,2.03,242.0,109.8,Villanova,Villanova/USA,50.0,True,F,50.0,1.0,F,50.0,1.0,F,,,
,,,,2831,Tre,Mann,2001-02-03,USA,2021,0,6.0,3.0,1.9,178.0,80.7,Florida,Florida/USA,23.0,True,G,23.0,1.0,G,23.0,1.0,G,,,
,,,,2808,Josh,Giddey,2002-10-10,Australia,2021,0,6.0,8.0,2.03,205.0,93.0,NBA Global Academy,NBA Global Academy/Australia,3.0,True,G,3.0,1.0,G,3.0,1.0,G,,,
,,,,2863,Aaron,Wiggins,1999-01-02,USA,2021,0,6.0,4.0,1.93,190.0,86.2,Maryland,Maryland/USA,21.0,True,G,21.0,1.0,G,21.0,1.0,G,,,
,,,,3399,Olivier,Sarr,1999-02-20,France,2021,0,,,,,,Kentucky,Kentucky/France,30.0,True,C,30.0,1.0,C,,,,,,
,,,,3448,Chet,Holmgren,,,0,0,,,,,,,,7.0,True,C-F,7.0,1.0,F-C,7.0,1.0,F-C,,,
,,,,3504,Jalen,Williams,,,0,0,,,,,,,,8.0,True,G-F,8.0,1.0,G,8.0,1.0,G,,,
,,,,3505,Jaylin,Williams,,,0,0,,,,,,,,6.0,True,F,6.0,1.0,F,6.0,1.0,F,,,
,,,,3432,Ousmane,Dieng,,,0,0,,,,,,,,13.0,True,F,13.0,1.0,F,13.0,1.0,F,,,
,,,,3501,Jack,White,,,0,0,,,,,,,,10.0,True,F,41.0,1.0,F,,,,,,
,,,,4008,Keyontae,Johnson,,,0,0,6.0,,,235.0,,Kansas State,,18.0,True,F,,,,,,,,,
,,,,4009,Cason,Wallace,,,0,0,6.0,,,193.0,,Kentucky,,22.0,True,G,,,,,,,,,
,,,,4084,A.,Flagler,,,0,0,,,,,,,,,True,F,,,,,,,,,
,,,,227,Gordon,Hayward,1990-03-23,USA,2010,11,6.0,7.0,2.01,225.0,102.1,Butler,Butler/USA,20.0,True,F,,,,,,,,,
,,,,54,Bismack,Biyombo,1992-08-28,DRC,2011,10,6.0,8.0,2.03,255.0,115.7,Baloncesto Fuenlabrada,Baloncesto Fuenlabrada/DRC,18.0,True,C,,,,,,,,1.0,C
,,,,52,Davis,Bertans,1992-11-12,Latvia,2016,5,6.0,10.0,2.08,225.0,102.1,Baskonia,Baskonia/Latvia,44.0,True,F,,,,,,,,,
,,,,384,Mike,Muscala,1991-07-01,USA,2013,8,6.0,10.0,2.08,240.0,108.9,Bucknell,Bucknell/USA,33.0,True,F-C,,,,,,,,,
,,,,2739,Vasilije,Micic,,,0,0,,,,,,,,,True,G,,,,,,,,,
