get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,41.0,2023.0,28.0,285,Tyus,Jones,1996-05-10,USA,2015,6,6.0,0.0,1.83,196.0,88.9,Duke,Duke/USA,21.0,True,G,,,,,,,,,,,,
,,,,564,Delon,Wright,1992-04-26,USA,2015,6,6.0,5.0,1.96,185.0,83.9,Utah,Utah/USA,55.0,True,G,,,,,,,,,,,,
,,,,246,Richaun,Holmes,1993-10-15,USA,2015,6,6.0,10.0,2.08,235.0,106.6,Bowling Green,Bowling Green/USA,22.0,True,F,,,,,,,,,,,,
,,,,820,Kyle,Kuzma,1995-07-24,USA,2017,4,6.0,9.0,2.06,221.0,100.2,Utah,Utah/USA,33.0,True,F,,,,,,,,,,,,
,,,,931,Marvin,Bagley III,1999-03-14,USA,2018,3,6.0,11.0,2.11,235.0,106.6,Duke,Duke/USA,35.0,True,F,35.0,1.0,F,35.0,1.0,F,,,,,,
,,,,960,Hamidou,Diallo,1998-07-31,USA,2018,3,6.0,5.0,1.96,202.0,91.6,Kentucky,Kentucky/USA,6.0,True,G,,,,6.0,1.0,G,,,,,,
,,,,1022,Landry,Shamet,1997-03-13,USA,2018,3,6.0,4.0,1.93,190.0,86.2,Wichita State,Wichita State/USA,14.0,True,G,,,,5.0,1.0,G,,,,,,
,,,,1859,Daniel,Gafford,1998-10-01,USA,2019,2,6.0,9.0,2.06,234.0,106.1,Arkansas,Arkansas/USA,21.0,True,F-C,,,,12.0,1.0,F,,,,,,
,,,,1887,Jordan,Poole,1999-06-19,USA,2019,2,6.0,4.0,1.93,194.0,88.0,Michigan,Michigan/USA,3.0,True,G,3.0,1.0,G,3.0,1.0,G,,,,,,
,,,,2564,Deni,Avdija,2001-01-03,Israel,2020,1,6.0,9.0,2.06,210.0,95.3,Maccabi Tel Aviv,Maccabi Tel Aviv/Israel,9.0,True,F,,,,,,,,,,,,
,,,,2796,Jared,Butler,2000-08-25,USA,2021,0,6.0,3.0,1.9,193.0,87.5,Baylor,Baylor/USA,13.0,True,G,,,,13.0,1.0,G,13.0,1.0,G,,,
,,,,2590,Anthony,Gill,1992-10-17,USA,2020,1,6.0,7.0,2.01,230.0,104.3,Virginia,Virginia/USA,16.0,True,F,,,,,,,,,,,,
,,,,2798,Justin,Champagnie,2001-06-29,USA,2021,0,6.0,6.0,1.98,206.0,93.4,Pittsburgh,Pittsburgh/USA,11.0,True,G-F,,,,11.0,1.0,F,,,,,,
,,,,2825,Corey,Kispert,1999-03-03,USA,2021,0,6.0,6.0,1.98,224.0,101.6,Gonzaga,Gonzaga/USA,24.0,True,F,,,,24.0,1.0,F,,,,,,
,,,,2838,Eugene,Omoruyi,1997-02-14,Nigeria,2021,0,,,,,,Oregon,Oregon/Nigeria,97.0,True,F,,,,25.0,1.0,G,25.0,1.0,G,,,
,,,,3428,Johnny,Davis,,,0,0,,,,,,,,1.0,True,G,,,,5.0,1.0,G,,,,,,
,,,,3413,Patrick,Baldwin Jr.,,,0,0,,,,,,,,7.0,True,F,7.0,1.0,G-F,7.0,1.0,G-F,,,,,,
,,,,3484,Ryan,Rollins,,,0,0,,,,,,,,2.0,True,G,2.0,1.0,G,2.0,1.0,G,,,,,,
,,,,3597,John,Butler Jr.,,,0,0,,,,,,,,,True,C,,,,12.0,1.0,F,,,,,,
,,,,3576,Jules,Bernard,,,0,0,,,,,,,,24.0,True,G,,,,26.0,1.0,G,,,,,,
,,,,4003,Trey,Jemison,,,0,0,6.0,,,260.0,,UAB,,56.0,True,C,,,,,,,,,,,,
,,,,4035,Chase,Audige,,,0,0,6.0,,,200.0,,Northwestern,,17.0,True,G,,,,,,,,,,,,
,,,,4036,Bilal,Coulibaly,,,0,0,6.0,,,195.0,,,,,True,SG,,,,,,,,,,,,
,,,,4088,T.,Vukcevic,,,0,0,,,,,,,,,True,PF,,,,,,,,,,,,
,,,,181,Danilo,Gallinari,1988-08-08,Italy,2008,12,6.0,10.0,2.08,236.0,107.0,Olimpia Milano,Olimpia Milano/Italy,8.0,True,F,,,,,,,,,,8.0,1.0,F
,,,,190,Taj,Gibson,1985-06-24,USA,2009,12,6.0,9.0,2.06,232.0,105.2,Southern California,Southern California/USA,67.0,True,F,,,,,,,,,,,,
,,,,384,Mike,Muscala,1991-07-01,USA,2013,8,6.0,10.0,2.08,240.0,108.9,Bucknell,Bucknell/USA,33.0,True,F-C,,,,,,,,,,,,
,,,,1191,Xavier,Cooks,,,0,0,,,,,,,,40.0,True,G-F,,,,18.0,1.0,F,,,,,,
