get,parameters.season,parameters.team,results,response.id,response.league,response.season,response.date.start,response.date.end,response.date.duration,response.stage,response.status.clock,response.status.halftime,response.status.short,response.status.long,response.periods.current,response.periods.total,response.periods.endOfPeriod,response.arena.name,response.arena.city,response.arena.state,response.arena.country,response.teams.visitors.id,response.teams.visitors.name,response.teams.visitors.nickname,response.teams.visitors.code,response.teams.visitors.logo,response.teams.home.id,response.teams.home.name,response.teams.home.nickname,response.teams.home.code,response.teams.home.logo,response.scores.visitors.win,response.scores.visitors.loss,response.scores.visitors.series.win,response.scores.visitors.series.loss,response.scores.visitors.linescore.0,response.scores.visitors.linescore.1,response.scores.visitors.linescore.2,response.scores.visitors.linescore.3,response.scores.visitors.points,response.scores.home.win,response.scores.home.loss,response.scores.home.series.win,response.scores.home.series.loss,response.scores.home.linescore.0,response.scores.home.linescore.1,response.scores.home.linescore.2,response.scores.home.linescore.3,response.scores.home.points,response.timesTied,response.leadChanges,response.nugget,response.scores.visitors.linescore.4,response.scores.home.linescore.4
games/,2023,5,86,12491,standard,2023,2023-10-10T23:30:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Kaseya Center,Miami,FL,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,0,0,0,0,22,30,28,29,109,0,0,0,0,25,28,25,35,113,,,,,
,,,,12502,standard,2023,2023-10-12T23:00:00.000Z,,,1,,FALSE,3,Finished,2,4,FALSE,Capital One Arena,Washington,DC,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,0,0,0,0,30,22,23,17,92,0,0,0,0,23,22,18,35,98,,,,,
,,,,12513,standard,2023,2023-10-15T21:00:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,25,Oklahoma City Thunder,Thunder,OKC,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,27,34,26,28,115,0,0,0,0,29,38,31,19,117,,,,,
,,,,12535,standard,2023,2023-10-19T23:00:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,34,32,34,27,127,0,0,0,0,19,21,25,34,99,,,,,
,,,,12551,standard,2023,2023-10-25T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,29,23,21,37,110,0,0,0,0,25,26,27,38,116,,,,,
,,,,12565,standard,2023,2023-10-27T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,32,22,29,28,111,0,0,0,0,21,26,28,24,99,,,,,
,,,,12589,standard,2023,2023-10-30T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,42,24,33,34,133,0,0,0,0,23,32,28,38,121,,,,,
,,,,12610,standard,2023,2023-11-02T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Toyota Center (Houston),Houston,TX,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,0,0,0,0,27,31,20,41,119,0,0,0,0,39,22,25,42,128,,,,,
,,,,12628,standard,2023,2023-11-04T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Gainbridge Fieldhouse,Indianapolis,IN,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,0,0,0,0,27,27,38,33,125,0,0,0,0,27,19,50,28,124,,,,,
,,,,12638,standard,2023,2023-11-06T00:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,31,31,22,34,118,0,0,0,0,26,24,33,41,124,,,,,
,,,,12652,standard,2023,2023-11-09T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,24,41,38,29,132,0,0,0,0,29,17,38,32,116,,,,,
,,,,12669,standard,2023,2023-11-11T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Capital One Arena,Washington,DC,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,0,0,0,0,22,35,31,36,124,0,0,0,0,27,36,34,20,117,,,,,
,,,,12681,standard,2023,2023-11-12T17:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Madison Square Garden,New York,NY,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,0,0,0,0,25,29,25,28,107,0,0,0,0,32,32,35,30,129,,,,,
,,,,12696,standard,2023,2023-11-15T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,24,33,30,24,111,0,0,0,0,32,16,32,25,105,,,,,
,,,,12716,standard,2023,2023-11-18T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,28,31,33,38,130,0,0,0,0,37,20,24,18,99,,,,,
,,,,12727,standard,2023,2023-11-18T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,30,31,28,33,122,0,0,0,0,19,31,30,28,108,,,,,
,,,,12742,standard,2023,2023-11-21T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Spectrum Center,Charlotte,NC,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,0,0,0,0,31,34,22,21,118,0,0,0,0,25,29,27,27,121,,,,10,13
