get,parameters.season,parameters.team,results,response.id,response.league,response.season,response.date.start,response.date.end,response.date.duration,response.stage,response.status.clock,response.status.halftime,response.status.short,response.status.long,response.periods.current,response.periods.total,response.periods.endOfPeriod,response.arena.name,response.arena.city,response.arena.state,response.arena.country,response.teams.visitors.id,response.teams.visitors.name,response.teams.visitors.nickname,response.teams.visitors.code,response.teams.visitors.logo,response.teams.home.id,response.teams.home.name,response.teams.home.nickname,response.teams.home.code,response.teams.home.logo,response.scores.visitors.win,response.scores.visitors.loss,response.scores.visitors.series.win,response.scores.visitors.series.loss,response.scores.visitors.linescore.0,response.scores.visitors.linescore.1,response.scores.visitors.linescore.2,response.scores.visitors.linescore.3,response.scores.visitors.points,response.scores.home.win,response.scores.home.loss,response.scores.home.series.win,response.scores.home.series.loss,response.scores.home.linescore.0,response.scores.home.linescore.1,response.scores.home.linescore.2,response.scores.home.linescore.3,response.scores.home.points,response.timesTied,response.leadChanges,response.nugget,response.scores.visitors.linescore.4,response.scores.home.linescore.4
games/,2023,23,86,12494,standard,2023,2023-10-11T00:00:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Smoothie King Center,New Orleans,LA,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,0,0,0,0,26,41,21,34,122,0,0,0,0,38,30,19,18,105,,,,,
,,,,12506,standard,2023,2023-10-13T00:00:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Legacy Arena at BJCC,Birmingham,AL,,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,0,0,0,0,33,23,29,35,120,0,0,0,0,26,14,21,26,87,,,,,
,,,,12510,standard,2023,2023-10-14T19:30:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Gateway Center,College Park,GA,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,0,0,0,0,21,15,35,34,105,0,0,0,0,28,26,28,28,110,,,,,
,,,,12525,standard,2023,2023-10-17T23:00:00.000Z,,,1,,FALSE,3,Finished,2,4,FALSE,Amway Center,Orlando,FL,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,0,0,0,0,25,28,24,27,104,0,0,0,0,26,29,21,16,92,,,,,
,,,,12559,standard,2023,2023-10-26T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,FedExForum,Memphis,TN,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,0,0,0,0,25,32,25,29,111,0,0,0,0,28,19,23,34,104,,,,,
,,,,12578,standard,2023,2023-10-28T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Smoothie King Center,New Orleans,LA,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,0,0,0,0,12,25,31,19,87,0,0,0,0,26,29,22,19,96,,,,,
,,,,12596,standard,2023,2023-10-31T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Smoothie King Center,New Orleans,LA,,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,0,0,0,0,29,30,39,32,130,0,0,0,0,27,30,21,24,102,,,,,
,,,,12609,standard,2023,2023-11-01T23:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Paycom Center,Oklahoma City,OK,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,25,Oklahoma City Thunder,Thunder,OKC,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,0,0,0,0,14,29,35,32,110,0,0,0,0,33,18,26,29,106,,,,,
,,,,12617,standard,2023,2023-11-03T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Smoothie King Center,New Orleans,LA,,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,0,0,0,0,29,20,34,33,116,0,0,0,0,35,37,22,31,125,,,,,
,,,,12630,standard,2023,2023-11-04T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Smoothie King Center,New Orleans,LA,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,0,0,0,0,27,26,41,29,123,0,0,0,0,35,25,23,22,105,,,,,
