get,parameters.season,parameters.team,results,response.id,response.league,response.season,response.date.start,response.date.end,response.date.duration,response.stage,response.status.clock,response.status.halftime,response.status.short,response.status.long,response.periods.current,response.periods.total,response.periods.endOfPeriod,response.arena.name,response.arena.city,response.arena.state,response.arena.country,response.teams.visitors.id,response.teams.visitors.name,response.teams.visitors.nickname,response.teams.visitors.code,response.teams.visitors.logo,response.teams.home.id,response.teams.home.name,response.teams.home.nickname,response.teams.home.code,response.teams.home.logo,response.scores.visitors.win,response.scores.visitors.loss,response.scores.visitors.series.win,response.scores.visitors.series.loss,response.scores.visitors.linescore.0,response.scores.visitors.linescore.1,response.scores.visitors.linescore.2,response.scores.visitors.linescore.3,response.scores.visitors.points,response.scores.home.win,response.scores.home.loss,response.scores.home.series.win,response.scores.home.series.loss,response.scores.home.linescore.0,response.scores.home.linescore.1,response.scores.home.linescore.2,response.scores.home.linescore.3,response.scores.home.points,response.timesTied,response.leadChanges,response.nugget,response.scores.visitors.linescore.4,response.scores.home.linescore.4
games/,2023,38,86,12484,standard,2023,2023-10-09T00:00:00.000Z,,,1,,FALSE,3,Finished,0,4,FALSE,Rogers Arena,Vancouver,BC,,30,Sacramento Kings,Kings,SAC,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,35,20,19,25,99,0,0,0,0,35,34,26,17,112,,,,,
,,,,12515,standard,2023,2023-10-15T22:00:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Scotiabank Arena,Toronto,ON,,166,Cairns Taipans,Taipans,CNS,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,17,27,39,10,93,0,0,0,0,38,33,33,30,134,,,,,
,,,,12527,standard,2023,2023-10-18T00:00:00.000Z,,,1,,FALSE,3,Finished,0,4,FALSE,United Center,Chicago,IL,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,0,0,0,0,23,31,22,30,106,0,0,0,0,25,26,26,25,102,,,,,
,,,,12544,standard,2023,2023-10-20T23:30:00.000Z,,,1,,FALSE,3,Finished,4,4,FALSE,Scotiabank Arena,Toronto,ON,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,24,28,22,24,98,0,0,0,0,31,27,43,33,134,,,,,
,,,,12557,standard,2023,2023-10-25T23:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Scotiabank Arena,Toronto,ON,,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,25,26,23,20,94,0,0,0,0,25,28,20,24,97,,,,,
,,,,12570,standard,2023,2023-10-28T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,United Center,Chicago,IL,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,6,Chicago Bulls,Bulls,CHI,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,0,0,0,0,18,17,33,25,103,0,0,0,0,24,18,23,28,104,,,,10,11
,,,,12580,standard,2023,2023-10-28T23:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Scotiabank Arena,Toronto,ON,,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,27,29,35,23,114,0,0,0,0,36,23,20,28,107,,,,,
,,,,12593,standard,2023,2023-10-30T23:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Scotiabank Arena,Toronto,ON,,29,Portland Trail Blazers,Trail Blazers,POR,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/1200px-Portland_Trail_Blazers_logo.svg.png,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,21,26,33,19,99,0,0,0,0,25,25,24,17,91,,,,,
,,,,12604,standard,2023,2023-11-01T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Scotiabank Arena,Toronto,ON,,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,18,26,35,32,111,0,0,0,0,31,35,29,35,130,,,,,
,,,,12616,standard,2023,2023-11-02T23:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Wells Fargo Center,Philadelphia,PA,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,27,Philadelphia 76ers,76ers,PHI,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,0,0,0,0,26,23,28,22,99,0,0,0,0,30,28,32,24,114,,,,,
