get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos
players/,20.0,2023.0,25.0,564,Delon,Wright,1992-04-26,USA,2015,6,6.0,5.0,1.96,185.0,83.9,Utah,Utah/USA,55.0,True,G,,,,,,,,,
,,,,458,Terry,Rozier,1994-03-17,USA,2015,6,6.0,1.0,1.85,190.0,86.2,Louisville,Louisville/USA,3.0,True,G,,,,,,,,,
,,,,446,Josh,Richardson,1993-09-15,USA,2015,6,6.0,5.0,1.96,200.0,90.7,Tennessee,Tennessee/USA,7.0,True,G,,,,,,,,,
,,,,138,Cheick,Diallo,1996-09-13,Mali,2016,0,,,,,,Kansas,Kansas/Mali,,False,,13.0,1.0,F,13.0,1.0,F,,,
,,,,724,Bam,Adebayo,1997-07-18,USA,2017,4,6.0,9.0,2.06,255.0,115.7,Kentucky,Kentucky/USA,13.0,True,C-F,,,,13.0,1.0,C-F,13.0,1.0,C-F
,,,,753,Thomas,Bryant,1997-07-31,USA,2017,4,6.0,10.0,2.08,248.0,112.5,Indiana,Indiana/USA,13.0,True,C-F,,,,13.0,1.0,C,,,
,,,,2242,Caleb,Martin,,,0,0,,,,,,,,16.0,True,F,,,,10.0,1.0,G-F,,,
,,,,1018,Duncan,Robinson,1994-04-22,USA,2018,3,6.0,7.0,2.01,215.0,97.5,Michigan,Michigan/USA,55.0,True,F,,,,55.0,1.0,F,55.0,1.0,F
,,,,1815,Haywood,Highsmith,1996-12-09,USA,2018,1,6.0,4.0,1.93,220.0,99.8,Wheeling Jesuit,Wheeling Jesuit/USA,24.0,True,F,,,,24.0,1.0,F,24.0,1.0,F
,,,,1866,Tyler,Herro,2000-01-20,USA,2019,2,6.0,5.0,1.96,195.0,88.5,Kentucky,Kentucky/USA,14.0,True,G,,,,14.0,1.0,G,14.0,1.0,G
,,,,2597,R.J.,Hampton,2001-02-07,USA,2020,1,6.0,4.0,1.93,175.0,79.4,New Zealand Breakers,New Zealand Breakers/USA,13.0,True,G,,,,13.0,1.0,G,,,
,,,,2798,Justin,Champagnie,2001-06-29,USA,2021,0,6.0,6.0,1.98,206.0,93.4,Pittsburgh,Pittsburgh/USA,11.0,True,G-F,,,,11.0,1.0,F,,,
,,,,3360,Dru,Smith,,,0,0,,,,,,,,9.0,True,G,,,,9.0,1.0,G,,,
,,,,3453,Nikola,Jovic,,,0,0,,,,,,,,5.0,True,F,,,,5.0,1.0,F,5.0,1.0,F
,,,,3482,Orlando,Robinson,,,0,0,,,,,,,,25.0,True,C,,,,59.0,1.0,C,59.0,1.0,C
,,,,3503,Alondes,Williams,,,0,0,,,,,,,,31.0,True,G,,,,31.0,1.0,G,,,
,,,,3424,Jamal,Cain,,,0,0,,,,,,,,8.0,True,F,,,,54.0,1.0,F,54.0,1.0,F
,,,,3493,Cole,Swider,,,0,0,,,,,,,,20.0,True,F,,,,21.0,1.0,F,21.0,1.0,F
,,,,3995,Drew,Peterson,,,0,0,6.0,,,205.0,,USC,,17.0,True,F,,,,,,,,,
,,,,4046,Jaime Jr.,Jaquez,,,0,0,6.0,,,225.0,,UCLA,,11.0,True,G,,,,,,,,,
,,,,4085,Jamie Jr.,Jaquez,,,0,0,,,,,,,,,True,G,,,,,,,,,
,,,,327,Kyle,Lowry,1986-03-25,USA,2006,15,6.0,0.0,1.83,196.0,88.9,Villanova,Villanova/USA,7.0,True,G,,,,,,,,,
,,,,326,Kevin,Love,1988-09-07,USA,2008,13,6.0,8.0,2.03,251.0,113.9,UCLA,UCLA/USA,,True,F-C,,,,,,,,,
,,,,365,Patty,Mills,1988-08-11,Australia,2009,12,6.0,0.0,1.83,180.0,81.6,St. Mary's,St. Mary's/Australia,8.0,True,G,,,,,,,,,
,,,,86,Jimmy,Butler,1989-09-14,USA,2011,10,6.0,7.0,2.01,230.0,104.3,Marquette,Marquette/USA,22.0,True,F,,,,,,,,,
