get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,26.0,2023.0,22.0,779,Markelle,Fultz,1998-05-29,USA,2017,4,6.0,4.0,1.93,209.0,94.8,Washington,Washington/USA,20.0,True,G,,,,,,,,,
,,,,801,Jonathan,Isaac,1997-10-03,USA,2017,3,6.0,10.0,2.08,230.0,104.3,Florida State,Florida State/USA,1.0,True,F,1.0,1.0,F,,,,,,
,,,,899,D.J.,Wilson,1996-02-19,USA,2017,0,,,,,,Michigan,Michigan/USA,9.0,True,F,9.0,1.0,F-C,,,,,,
,,,,950,Wendell,Carter Jr.,1999-04-16,USA,2018,3,6.0,10.0,2.08,270.0,122.5,Duke,Duke/USA,34.0,True,C-F,34.0,1.0,C,,,,,,
,,,,1037,Moritz,Wagner,1997-04-26,Germany,2018,3,6.0,11.0,2.11,245.0,111.1,Michigan,Michigan/Germany,21.0,True,F-C,20.0,1.0,C,15.0,1.0,C,,,
,,,,1848,Goga,Bitadze,1999-07-20,Georgia,2019,2,7.0,0.0,2.13,250.0,113.4,Mega Basket,Mega Basket/Georgia,88.0,True,C-F,88.0,1.0,C,,,,,,
,,,,1883,Chuma,Okeke,1998-08-18,USA,2020,1,6.0,6.0,1.98,229.0,103.9,Auburn,Auburn/USA,3.0,True,F,,,,,,,,,
,,,,1892,Admiral,Schofield,1997-03-30,United Kingdom,2019,1,6.0,5.0,1.96,241.0,109.3,Tennessee,Tennessee/United Kingdom,25.0,True,F,25.0,1.0,F,,,,,,
,,,,2563,Cole,Anthony,2000-05-15,USA,2020,1,6.0,3.0,1.9,185.0,83.9,North Carolina,North Carolina/USA,50.0,True,G,50.0,1.0,G,,,,,,
,,,,2671,Trevelin,Queen,1997-02-25,USA,2021,0,6.0,6.0,1.98,190.0,86.2,New Mexico State,New Mexico State/USA,8.0,True,G,9.0,1.0,G,21.0,1.0,G,9.0,1.0,G
,,,,2677,Kevon,Harris,,,0,0,,,,,,,,7.0,True,G,10.0,1.0,G,,,,,,
,,,,3398,Brandon,Williams,1999-11-22,USA,2021,0,6.0,2.0,1.88,190.0,86.2,Arizona,Arizona/USA,8.0,True,G,8.0,1.0,G,,,,,,
,,,,2858,Franz,Wagner,2001-08-27,Germany,2021,0,6.0,10.0,2.08,220.0,99.8,Michigan,Michigan/Germany,22.0,True,F,21.0,1.0,F,,,,,,
,,,,2852,Jalen,Suggs,2001-06-03,USA,2021,0,6.0,5.0,1.96,205.0,93.0,Gonzaga,Gonzaga/USA,4.0,True,G,4.0,1.0,G,,,,,,
,,,,2833,Mac,McClung,1999-01-06,USA,2021,0,6.0,2.0,1.88,185.0,83.9,Texas Tech,Texas Tech/USA,37.0,True,G,55.0,1.0,G,55.0,1.0,G,,,
,,,,3414,Paolo,Banchero,,,0,0,,,,,,,,5.0,True,F,5.0,1.0,F,,,,,,
,,,,3449,Caleb,Houstan,,,0,0,,,,,,,,2.0,True,G,2.0,1.0,F,,,,,,
,,,,3478,Daeqwon,Plowden,,,0,0,,,,,,,,29.0,True,G-F,,,,,,,,,
,,,,4010,Anthony,Black,,,0,0,6.0,,,200.0,,Arkansas,,,True,G,,,,,,,,,
,,,,4011,Jett,Howard,,,0,0,6.0,,,215.0,,Michigan,,,True,G,,,,,,,,,
,,,,220,Gary,Harris,1994-09-14,USA,2014,7,6.0,4.0,1.93,210.0,95.3,Michigan State,Michigan State/USA,14.0,True,G,,,,,,,,,
,,,,258,Joe,Ingles,1987-10-02,Australia,2014,7,6.0,8.0,2.03,220.0,99.8,Maccabi Tel Aviv,Maccabi Tel Aviv/Australia,,True,F-G,,,,,,,,,
