get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,27.0,2023.0,29.0,407,Kelly,Oubre Jr.,1995-12-09,USA,2015,6,6.0,6.0,1.98,203.0,92.1,Kansas,Kansas/USA,12.0,True,F-G,,,,,,,,,,,,
,,,,417,Cameron,Payne,1994-08-08,USA,2015,6,6.0,1.0,1.85,183.0,83.0,Murray State,Murray State/USA,15.0,True,G,20.0,1.0,G,,,,,,,,,
,,,,236,Buddy,Hield,1992-12-17,Bahamas,2016,5,6.0,4.0,1.93,220.0,99.8,Oklahoma,Oklahoma/Bahamas,24.0,True,G,,,,,,,,,,,,
,,,,818,Furkan,Korkmaz,1997-07-24,Turkey,2017,4,6.0,7.0,2.01,202.0,91.6,Anadolu Efes,Anadolu Efes/Turkey,30.0,True,G-F,30.0,1.0,G-F,,,,,,,,,
,,,,249,Danuel,House Jr.,1993-06-07,USA,2016,5,6.0,6.0,1.98,220.0,99.8,Texas A&M,Texas A&M/USA,25.0,True,F-G,65.0,1.0,F,,,,,,,,,
,,,,899,D.J.,Wilson,1996-02-19,USA,2017,0,,,,,,Michigan,Michigan/USA,9.0,True,F,9.0,1.0,F-C,,,,,,,,,
,,,,932,Mo,Bamba,1998-05-12,USA,2018,3,7.0,0.0,2.13,231.0,104.8,Texas,Texas/USA,11.0,True,C,5.0,1.0,C,,,,,,,,,
,,,,998,De'Anthony,Melton,1998-05-28,USA,2018,3,6.0,2.0,1.88,200.0,90.7,Southern California,Southern California/USA,8.0,True,G,,1.0,G,,,,,,,,,
,,,,1847,Darius,Bazley,2000-06-12,USA,2019,2,6.0,8.0,2.03,208.0,94.3,Princeton HS (OH),Princeton HS (OH)/USA,55.0,True,F,,,,,,,,,,,,
,,,,2619,Tyrese,Maxey,2000-11-04,USA,2020,1,6.0,2.0,1.88,200.0,90.7,Kentucky,Kentucky/USA,,True,G,,1.0,G,,,,,,,,,
,,,,2638,Paul,Reed,1999-06-14,USA,2020,1,6.0,9.0,2.06,210.0,95.3,DePaul,DePaul/USA,44.0,True,F,44.0,1.0,F,44.0,1.0,F,,,,,,
,,,,2839,Filip,Petrusev,2000-04-15,Serbia,0,0,6.0,11.0,2.11,225.0,102.1,Gonzaga,Gonzaga/Serbia,,True,C,33.0,1.0,F,33.0,1.0,F,,,,,,
,,,,2617,Kenyon,Martin Jr.,2001-01-06,USA,2020,1,6.0,5.0,1.96,215.0,97.5,IMG Academy (FL),IMG Academy (FL)/USA,6.0,True,F,6.0,1.0,F,,,,,,,,,
,,,,2878,Jeff,Dowtin,1997-05-10,USA,2021,0,6.0,3.0,1.9,180.0,81.6,Rhode Island,Rhode Island/USA,15.0,True,G,20.0,1.0,G,,,,25.0,1.0,G,,,
,,,,2851,Jaden,Springer,2002-09-25,USA,2021,0,6.0,4.0,1.93,202.0,91.6,Tennessee,Tennessee/USA,11.0,True,G,11.0,1.0,G,11.0,1.0,G,,,,,,
,,,,2804,David,Duke Jr.,1999-10-13,USA,2021,0,6.0,4.0,1.93,204.0,92.5,Providence,Providence/USA,6.0,True,G,6.0,1.0,G,,,,,,,,,
,,,,2917,Javonte,Smart,1999-06-03,USA,2021,0,6.0,4.0,1.93,205.0,93.0,Louisiana State,Louisiana State/USA,15.0,True,G,15.0,1.0,G,,,,15.0,1.0,G,,,
,,,,3463,Kenneth,Lofton Jr.,,,0,0,,,,,,,,6.0,True,F,6.0,1.0,F-C,6.0,1.0,F-C,,,,,,
,,,,4012,Terquavion,Smith,,,0,0,6.0,,,160.0,,NC State,,23.0,True,G,,,,,,,,,,,,
,,,,4049,Ricky IV,Council,,,0,0,6.0,,,207.0,,Arkansas,,16.0,True,G,,,,,,,,,,,,
,,,,327,Kyle,Lowry,1986-03-25,USA,2006,15,6.0,0.0,1.83,196.0,88.9,Villanova,Villanova/USA,7.0,True,G,,,,,,,,,,,,
,,,,520,P.J.,Tucker,1985-05-05,USA,2006,10,6.0,5.0,1.96,245.0,111.1,Texas,Texas/USA,17.0,True,F,,,,,,,,,,,,
,,,,40,Nicolas,Batum,1988-12-14,France,2008,13,6.0,8.0,2.03,230.0,104.3,Le Mans,Le Mans/France,33.0,True,G-F,,,,,,,,,,,,
,,,,53,Patrick,Beverley,1988-07-12,USA,2012,9,6.0,1.0,1.85,180.0,81.6,Arkansas,Arkansas/USA,21.0,True,G,,,,,,,,,,,,
,,,,203,Danny,Green,1987-06-22,USA,2009,12,6.0,6.0,1.98,215.0,97.5,North Carolina,North Carolina/USA,14.0,True,G,,,,,,,,,,,,
,,,,373,Marcus,Morris Sr.,1989-09-02,USA,2011,10,6.0,8.0,2.03,218.0,98.9,Kansas,Kansas/USA,8.0,True,F,,,,,,,,,,,,
,,,,222,Tobias,Harris,1992-07-15,USA,2011,10,6.0,7.0,2.01,226.0,102.5,Tennessee,Tennessee/USA,12.0,True,F,,,,,,,,,,,,
,,,,118,Robert,Covington,1990-12-14,USA,2013,8,6.0,7.0,2.01,209.0,94.8,Tennessee State,Tennessee State/USA,23.0,True,F,,,,,,,,,,,,
,,,,159,Joel,Embiid,1994-03-16,Cameroon,2016,5,7.0,0.0,2.13,280.0,127.0,Kansas,Kansas/Cameroon,21.0,True,C-F,,,,,,,,,,21.0,1.0,C
