get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,28.0,2023.0,23.0,64,Devin,Booker,1996-10-30,USA,2015,6,6.0,5.0,1.96,206.0,93.4,Kentucky,Kentucky/USA,1.0,True,G,,,,,,
,,,,851,Royce,O'Neale,1993-06-05,USA,2017,4,6.0,5.0,1.96,226.0,102.5,Baylor,Baylor/USA,,True,F,,,,,,
,,,,926,Grayson,Allen,1995-10-08,USA,2018,3,6.0,4.0,1.93,198.0,89.8,Duke,Duke/USA,7.0,True,G,3.0,1.0,G,24.0,1.0,G
,,,,2565,Udoka,Azubuike,1999-09-17,Nigeria,2020,1,7.0,0.0,2.13,270.0,122.5,Kansas,Kansas/Nigeria,20.0,True,C-F,20.0,1.0,C,20.0,1.0,C
,,,,934,Keita,Bates-Diop,1996-01-23,USA,2018,3,6.0,8.0,2.03,229.0,103.9,Ohio State,Ohio State/USA,31.0,True,F,31.0,1.0,F,,,
,,,,999,Chimezie,Metu,1997-03-22,USA,2018,3,6.0,9.0,2.06,225.0,102.1,Southern California,Southern California/USA,7.0,True,F-C,25.0,1.0,F,7.0,1.0,F
,,,,1010,Josh,Okogie,1998-09-01,Nigeria,2018,3,6.0,4.0,1.93,213.0,96.6,Georgia Tech,Georgia Tech/Nigeria,2.0,True,G,20.0,1.0,G,,,
,,,,1040,Yuta,Watanabe,1994-10-13,Japan,2018,3,6.0,9.0,2.06,215.0,97.5,George Washington,George Washington/Japan,18.0,True,G-F,18.0,1.0,F,18.0,1.0,F
,,,,966,Drew,Eubanks,1997-02-01,USA,2018,0,,,,,,Oregon State,Oregon State/USA,24.0,True,F-C,14.0,1.0,C,14.0,1.0,C
,,,,1849,Bol,Bol,1999-11-16,Sudan,2019,2,7.0,2.0,2.18,220.0,99.8,Oregon,Oregon/Sudan,10.0,True,C-F,10.0,1.0,C,,,
,,,,1875,Nassir,Little,2000-02-11,USA,2019,2,6.0,5.0,1.96,220.0,99.8,North Carolina,North Carolina/USA,10.0,True,F-G,9.0,1.0,F,,,
,,,,2614,Theo,Maledon,2001-06-12,France,2020,1,6.0,4.0,1.93,175.0,79.4,                                   ,Asvel/France,5.0,False,,11.0,1.0,G,,,
,,,,2610,Saben,Lee,1999-06-23,USA,2020,1,6.0,2.0,1.88,183.0,83.0,Vanderbilt,Vanderbilt/USA,38.0,True,G,38.0,1.0,G,,,
,,,,2820,Keon,Johnson,2002-03-10,USA,2021,0,6.0,4.0,1.93,185.0,83.9,Tennessee,Tennessee/USA,6.0,True,G,6.0,1.0,G,,,
,,,,2859,Ish,Wainright,1994-09-12,USA,2021,0,6.0,5.0,1.96,250.0,113.4,Baylor,Baylor/USA,12.0,True,F,12.0,1.0,F,,,
,,,,3341,Jordan,Goodwin,1998-10-23,USA,2021,0,,,,,,St. Louis,St. Louis/USA,7.0,True,G,7.0,1.0,G,,,
,,,,3483,David,Roddy,,,0,0,,,,,,,,27.0,True,F,27.0,1.0,F,27.0,1.0,F
,,,,4087,I.,Thomas,,,0,0,,,,,,,,,True,G,,,,,,
,,,,153,Kevin,Durant,1988-09-29,USA,2007,13,6.0,10.0,2.08,240.0,108.9,Texas,Texas/USA,7.0,True,F,,,,,,
,,,,570,Thaddeus,Young,1988-06-21,USA,2007,14,6.0,8.0,2.03,235.0,106.6,Georgia Tech,Georgia Tech/USA,21.0,True,F,,,,,,
,,,,196,Eric,Gordon,1988-12-25,USA,2008,13,6.0,3.0,1.9,215.0,97.5,Indiana,Indiana/USA,10.0,True,G,,,,,,
,,,,45,Bradley,Beal,1993-06-28,USA,2012,9,6.0,4.0,1.93,207.0,93.9,Florida,Florida/USA,3.0,True,G,,,,,,
,,,,398,Jusuf,Nurkic,1994-08-23,Bosnia and Herzegovina,2014,7,6.0,11.0,2.11,290.0,131.5,Cedevita,Cedevita/Bosnia and Herzegovina,27.0,True,C,,,,,,
