get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos
players/,29.0,2023.0,24.0,71,Malcolm,Brogdon,1992-12-11,USA,2016,5,6.0,5.0,1.96,229.0,103.9,Virginia,Virginia/USA,13.0,True,G,,,,,,
,,,,987,Kevin,Knox II,1999-08-11,USA,2018,3,6.0,7.0,2.01,215.0,97.5,Kentucky,Kentucky/USA,5.0,True,F,20.0,1.0,F,,,
,,,,1023,Anfernee,Simons,1999-06-08,USA,2018,3,6.0,3.0,1.9,181.0,82.1,Edgewater HS (FL),Edgewater HS (FL)/USA,1.0,True,G,1.0,1.0,G,,,
,,,,930,Deandre,Ayton,1998-07-23,Bahamas,2018,3,6.0,11.0,2.11,250.0,113.4,Arizona,Arizona/Bahamas,22.0,True,C,22.0,1.0,C,,,
,,,,1045,Robert,Williams III,1997-10-17,USA,2018,3,6.0,9.0,2.06,237.0,107.5,Texas A&M,Texas A&M/USA,44.0,True,C-F,44.0,1.0,C,,,
,,,,2160,Moses,Brown,,,0,0,,,,,,,,6.0,True,C,56.0,1.0,C,,,
,,,,1896,Matisse,Thybulle,1997-03-04,USA,2019,2,6.0,5.0,1.96,201.0,91.2,Washington,Washington/USA,22.0,True,G-F,22.0,1.0,G-F,,,
,,,,2594,Ashton,Hagans,,,0,0,,,,,,,,22.0,True,G-F,20.0,1.0,G,,,
,,,,2620,Skylar,Mays,1997-09-05,USA,2020,1,6.0,4.0,1.93,205.0,93.0,Louisiana State,Louisiana State/USA,4.0,True,G,4.0,1.0,G,,,
,,,,2788,Dalano,Banton,1999-11-07,Canada,2021,0,6.0,7.0,2.01,204.0,92.5,Nebraska,Nebraska/Canada,45.0,True,F,45.0,1.0,G,,,
,,,,2859,Ish,Wainright,1994-09-12,USA,2021,0,6.0,5.0,1.96,250.0,113.4,Baylor,Baylor/USA,12.0,True,F,12.0,1.0,F,,,
,,,,3408,Scoot,Henderson,,,0,0,,,,,,,,,False,,,,,,,
,,,,3487,Shaedon,Sharpe,,,0,0,,,,,,,,17.0,True,G,17.0,1.0,G,,,
,,,,3418,Jamaree,Bouyea,,,0,0,,,,,,,,11.0,True,G,52.0,1.0,G,52.0,1.0,G
,,,,3496,Jabari,Walker,,,0,0,,,,,,,,34.0,True,F,34.0,1.0,F,,,
,,,,3714,Justin,Minaya,,,0,0,,,,,,,,14.0,True,F,14.0,1.0,F,,,
,,,,4014,Ibou,Badji,,,0,0,7.0,,,240.0,,,,41.0,True,C,,,,,,
,,,,4015,Toumani,Camara,,,0,0,6.0,,,220.0,,Dayton,,20.0,True,F,,,,,,
,,,,4017,Kris,Murray,,,0,0,6.0,,,215.0,,Iowa,,8.0,True,F,,,,,,
,,,,4018,Duop,Reath,,,0,0,6.0,,,245.0,,LSU,,,True,C,,,,,,
,,,,4069,R.,Rupert,,,0,0,,,,,,,,,True,G,,,,,,
,,,,200,Jerami,Grant,1994-03-12,USA,2014,7,6.0,8.0,2.03,210.0,95.3,Syracuse,Syracuse/USA,9.0,True,F,,,,,,
,,,,3724,Taze,Moore,,,0,0,,,,,,,,44.0,True,G,,,,,,
,,,,3614,George,Conditt IV,,,0,0,,,,,,,,44.0,True,F,,,,,,
