get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,30.0,2023.0,23.0,331,Trey,Lyles,1995-11-05,Canada,2015,6,6.0,9.0,2.06,234.0,106.1,Kentucky,Kentucky/Canada,41.0,True,F,,,,,,,,,,,,
,,,,463,Domantas,Sabonis,1996-05-03,Lithuania,2016,5,6.0,11.0,2.11,240.0,108.9,Gonzaga,Gonzaga/Lithuania,10.0,True,F-C,,,,,,,,,,,,
,,,,776,De'Aaron,Fox,1997-12-20,USA,2017,4,6.0,3.0,1.9,185.0,83.9,Kentucky,Kentucky/USA,5.0,True,G,5.0,1.0,G,,,,,,,,,
,,,,842,Malik,Monk,1998-02-04,USA,2017,4,6.0,3.0,1.9,200.0,90.7,Kentucky,Kentucky/USA,,True,G,,,,1.0,1.0,G,,,,,,
,,,,980,Kevin,Huerter,1998-08-27,USA,2018,3,6.0,7.0,2.01,198.0,89.8,Maryland,Maryland/USA,9.0,True,G-F,,,,1.0,1.0,G,1.0,1.0,G,,,
,,,,947,Deonte,Burton,1994-01-31,USA,0,2,6.0,4.0,1.93,240.0,108.9,Iowa State,Iowa State/USA,30.0,True,G-F,,,,30.0,1.0,F,,,,,,
,,,,1934,Juan,Toscano-Anderson,,,0,0,,,,,,,,95.0,True,F,8.0,1.0,F,8.0,1.0,F,,,,,,
,,,,1882,Jaylen,Nowell,1999-07-09,USA,2019,2,6.0,4.0,1.93,201.0,91.2,Washington,Washington/USA,4.0,True,G,,,,4.0,1.0,G,,,,,,
,,,,2839,Filip,Petrusev,2000-04-15,Serbia,0,0,6.0,11.0,2.11,225.0,102.1,Gonzaga,Gonzaga/Serbia,,True,C,,,,33.0,1.0,F,33.0,1.0,F,,,
,,,,2605,Mason,Jones,1998-07-21,USA,2020,1,6.0,4.0,1.93,200.0,90.7,Arkansas,Arkansas/USA,40.0,True,G,17.0,1.0,G,17.0,1.0,G,,,,,,
,,,,2588,Jordan,Ford,1998-05-26,USA,0,0,6.0,1.0,1.85,175.0,79.4,St. Mary's College,St. Mary's College/USA,,True,G,,,,19.0,1.0,G,,,,,,
,,,,2803,Chris,Duarte,1997-06-13,Dominican Republic,2021,0,6.0,5.0,1.96,190.0,86.2,Oregon,Oregon/Dominican Republic,3.0,True,G,,,,3.0,1.0,G,,,,,,
,,,,2805,Kessler,Edwards,2000-08-09,USA,2021,0,6.0,7.0,2.01,203.0,92.1,Pepperdine,Pepperdine/USA,14.0,True,F,,,,14.0,1.0,F,,,,,,
,,,,2834,Davion,Mitchell,1998-09-05,USA,2021,0,6.0,0.0,1.83,202.0,91.6,Baylor,Baylor/USA,15.0,True,G,15.0,1.0,G,15.0,1.0,G,,,,,,
,,,,3475,Keegan,Murray,,,0,0,,,,,,,,13.0,True,F,13.0,1.0,F,13.0,1.0,F,,,,,,
,,,,3436,Keon,Ellis,,,0,0,,,,,,,,23.0,True,G,34.0,1.0,G,34.0,1.0,G,,,,,,
,,,,4020,Colby,Jones,,,0,0,6.0,,,205.0,,Xavier,,,True,G,,,,,,,,,,,,
,,,,4021,Jalen,Slawson,,,0,0,6.0,,,218.0,,Furman,,,True,F,,,,,,,,,,,,
,,,,4022,Sasha,Vezenkov,,,0,0,6.0,,,225.0,,,,,True,F,,,,,,,,,,,,
,,,,353,JaVale,McGee,1988-01-19,USA,2008,13,7.0,0.0,2.13,270.0,122.5,Nevada,Nevada/USA,,True,C-F,,,,,,,,,,7.0,1.0,C
,,,,36,Harrison,Barnes,1992-05-30,USA,2012,9,6.0,8.0,2.03,225.0,102.1,North Carolina,North Carolina/USA,40.0,True,F,,,,,,,,,,40.0,1.0,F
,,,,303,Jeremy,Lamb,1992-05-30,USA,2012,9,6.0,5.0,1.96,180.0,81.6,Connecticut,Connecticut/USA,26.0,True,G-F,,,,,,,,,,,,
,,,,313,Alex,Len,1993-06-16,Ukraine,2013,8,7.0,0.0,2.13,250.0,113.4,Maryland,Maryland/Ukraine,25.0,True,C,,,,,,,,,,,,
