get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,4.0,2023.0,22.0,851,Royce,O'Neale,1993-06-05,USA,2017,4,6.0,5.0,1.96,226.0,102.5,Baylor,Baylor/USA,,True,F,,,,,,,,,
,,,,481,Ben,Simmons,1996-07-20,Australia,2017,4,6.0,11.0,2.11,240.0,108.9,Louisiana State,Louisiana State/Australia,10.0,True,G-F,,,,,,,,,
,,,,175,Dorian,Finney-Smith,1993-05-04,USA,2016,5,6.0,7.0,2.01,220.0,99.8,Florida,Florida/USA,10.0,True,F,10.0,1.0,F,,,,,,
,,,,876,Dennis,Smith Jr.,1997-11-25,USA,2017,0,,,,,,North Carolina State,North Carolina State/USA,8.0,True,G,1.0,1.0,G,1.0,1.0,G,,,
,,,,934,Keita,Bates-Diop,1996-01-23,USA,2018,3,6.0,8.0,2.03,229.0,103.9,Ohio State,Ohio State/USA,31.0,True,F,31.0,1.0,F,,,,,,
,,,,940,Mikal,Bridges,1996-08-30,USA,2018,3,6.0,6.0,1.98,209.0,94.8,Villanova,Villanova/USA,25.0,True,F,25.0,1.0,F,,,,,,
,,,,1038,Lonnie,Walker IV,1998-12-14,USA,2018,3,6.0,4.0,1.93,204.0,92.5,Miami,Miami/USA,4.0,True,G-F,1.0,1.0,G,,,,1.0,1.0,G
,,,,1847,Darius,Bazley,2000-06-12,USA,2019,2,6.0,8.0,2.03,208.0,94.3,Princeton HS (OH),Princeton HS (OH)/USA,55.0,True,F,,,,,,,,,
,,,,1854,Nic,Claxton,1999-04-17,USA,2019,2,6.0,11.0,2.11,215.0,97.5,Georgia,Georgia/USA,33.0,True,C,33.0,1.0,F-C,,,,,,
,,,,1871,Cameron,Johnson,1996-03-03,USA,2019,2,6.0,8.0,2.03,210.0,95.3,North Carolina,North Carolina/USA,23.0,True,F,,,,,,,,,
,,,,2325,Armoni,Brooks,1998-06-05,USA,2020,1,6.0,3.0,1.9,195.0,88.5,Houston,Houston/USA,1.0,True,G,1.0,1.0,G,,,,,,
,,,,2848,Day'Ron,Sharpe,2001-11-06,USA,2021,0,6.0,9.0,2.06,265.0,120.2,North Carolina,North Carolina/USA,20.0,True,C,20.0,1.0,C,,,,,,
,,,,2820,Keon,Johnson,2002-03-10,USA,2021,0,6.0,4.0,1.93,185.0,83.9,Tennessee,Tennessee/USA,6.0,True,G,6.0,1.0,G,,,,,,
,,,,2855,Cam,Thomas,2001-10-13,Japan,2021,0,6.0,3.0,1.9,210.0,95.3,Louisiana State,Louisiana State/Japan,24.0,True,G,24.0,1.0,G,,,,,,
,,,,2861,Trendon,Watford,2000-11-09,USA,2021,0,6.0,8.0,2.03,237.0,107.5,Louisiana State,Louisiana State/USA,2.0,True,F,2.0,1.0,F,,,,,,
,,,,3892,Jacob,Gilyard,,,0,0,,,,,,,,,False,,,,,,,,,,
,,,,3944,Noah,Clowney,,,0,0,6.0,,,210.0,,Alabama,,21.0,True,F,,,,,,,,,
,,,,3945,Dariq,Whitehead,,,0,0,6.0,,,220.0,,Duke,,,True,F,,,,,,,,,
,,,,3946,Jalen,Wilson,,,0,0,6.0,,,225.0,,Kansas,,22.0,True,F,,,,,,,,,
,,,,4041,Harry III,Giles,,,0,0,6.0,,,240.0,,Duke,,14.0,True,F,,,,,,,,,
,,,,472,Dennis,Schroder,1993-09-15,Germany,2013,8,6.0,1.0,1.85,172.0,78.0,Braunschweig,Braunschweig/Germany,17.0,True,G,,,,,,,,,
,,,,142,Spencer,Dinwiddie,1993-04-06,USA,2014,7,6.0,6.0,1.98,215.0,97.5,Colorado,Colorado/USA,26.0,True,G,,,,,,,,,
