id, teams, primary, secondary, third, logo
1, Atlanta Hawks,#C8102E,#FDB927,#000000, https://logos-world.net/wp-content/uploads/2020/07/Atlanta-Hawks-Logo-700x394.png
2, Boston Celtics,#007A33,#BA9653,#963821, https://logos-world.net/wp-content/uploads/2020/05/Boston-Celtics-logo-700x394.png
4, Brooklyn Nets,#000000,#FFFFFF,0, https://logos-world.net/wp-content/uploads/2020/05/Brooklyn-Nets-Logo-700x394.png
5, Charlotte Hornets,#1D1160,#00788C,#A1A1A4, https://logos-world.net/wp-content/uploads/2020/05/Charlotte-Hornets-logo-700x394.png
6, Chicago Bulls,#CE1141,#000000, 0, https://logos-world.net/wp-content/uploads/2020/05/Chicago-Bulls-logo-700x394.png
7, Cleveland Cavaliers,#860038,#041E42,#FDBB30, https://logos-world.net/wp-content/uploads/2020/05/Cleveland-Cavaliers-logo-700x394.png
8, Dallas Mavericks,#00538C,#002B5E,#B8C4CA, https://logos-world.net/wp-content/uploads/2020/05/Dallas-Mavericks-Logo-700x394.png
9, Denver Nuggets,#0E2240,#FEC524,#8B2131, https://logos-world.net/wp-content/uploads/2020/05/Denver-Nuggets-Logo-700x394.png
10, Detroit Pistons,#C8102E,#1D42BA,#BEC0C2, https://logos-world.net/wp-content/uploads/2020/05/Detroit-Pistons-logo-700x394.png
11, Golden State Warriors,#1D428A,#FFC72C, 0, https://logos-world.net/wp-content/uploads/2020/05/Golden-State-Warriors-logo-700x394.png
14, Houston Rockets,#CE1141,#000000,#C4CED4, https://logos-world.net/wp-content/uploads/2020/05/Houston-Rockets-logo-700x394.png
15, Indiana Pacers,#002D62,#FDBB30,#BEC0C2, https://logos-world.net/wp-content/uploads/2020/05/Indiana-Pacers-logo-700x394.png
16, LA Clippers,#C8102E,#1D428A,#BEC0C2, https://logos-world.net/wp-content/uploads/2020/05/Los-Angeles-Clippers-Logo-700x394.png
17, Los Angeles Lakers,#552583,#FDB927,#000000, https://logos-world.net/wp-content/uploads/2020/05/Los-Angeles-Lakers-Logo-700x394.png
19, Memphis Grizzlies,#5D76A9,#12173F,#F5B112, https://logos-world.net/wp-content/uploads/2020/05/Memphis-Grizzlies-logo-700x394.png
20, Miami Heat,#98002E,#F9A01B,#000000, https://logos-world.net/wp-content/uploads/2020/05/Miami-Heat-logo-700x394.png
21, Milwaukee Bucks,#00471B,#EEE1C6,#0077C0, https://logos-world.net/wp-content/uploads/2020/05/Milwaukee-Bucks-logo-700x394.png
22, Minnesota Timberwolves,#0C2340,#236192,#9EA2A2, https://logos-world.net/wp-content/uploads/2020/05/Minnesota-Timberwolves-logo-700x394.png
23, New Orleans Pelicans,#0C2340,#C8102E,#85714D, https://logos-world.net/wp-content/uploads/2020/05/New-Orleans-Pelicans-Logo-700x394.png
24, New York Knicks,#006BB6,#F58426,#BEC0C2, https://logos-world.net/wp-content/uploads/2020/05/New-York-Knicks-logo-700x394.png
25, Oklahoma City Thunder,#007AC1,#EF3B24,#002D62, https://logos-world.net/wp-content/uploads/2020/05/Oklahoma-City-Thunder-logo-700x394.png
26, Orlando Magic,#0077C0,#C4CED4,#000000, https://logos-world.net/wp-content/uploads/2020/05/Orlando-Magic-logo-700x394.png
27, Philadelphia 76ers,#006BB6,#ED174C,#002B5C, https://logos-world.net/wp-content/uploads/2020/05/Philadelphia-76ers-logo-700x394.png
28, Phoenix Suns,#1D1160,#E56020,#000000, https://logos-world.net/wp-content/uploads/2020/05/Phoenix-Suns-logo-700x394.png
29, Portland Trail Blazers,#E03A3E,#000000, 0, https://logos-world.net/wp-content/uploads/2020/05/Portland-Trail-Blazers-logo-700x394.png
30, Sacramento Kings,#5A2D81,#63727A,#000000, https://logos-world.net/wp-content/uploads/2020/05/Sacramento-Kings-logo-700x394.png
31, San Antonio Spurs,#C4CED4,#000000, 0, https://logos-world.net/wp-content/uploads/2020/05/San-Antonio-Spurs-logo-700x394.png
38, Toronto Rapters,#CE1141,#000000,#A1A1A4, https://logos-world.net/wp-content/uploads/2020/05/Toronto-Raptors-logo-700x394.png
40, Utah Jazz,#002B5C,#00471B,#F9A01B, https://logos-world.net/wp-content/uploads/2020/05/Utah-Jazz-logo-700x394.png
41, Washington Wizards,#002B5C,#E31837,#C4CED4, https://logos-world.net/wp-content/uploads/2020/05/Washington-Wizards-logo-700x394.png
